2025-06-17 09:36:18 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 09:36:18 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 09:36:18 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 09:36:18 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 09:36:18 | INFO | voice_audio_recorder | 開始錄音，預定時長: 10秒
2025-06-17 09:36:21 | INFO | voice_audio_recorder | 錄音完成，實際時長: 3.03秒
2025-06-17 09:36:21 | INFO | voice_audio_recorder | 錄音已停止
2025-06-17 09:36:21 | INFO | voice_audio_recorder | 音訊檔案已保存: /Users/owenke/source/github.com/robot-test-project/libraries/local_voice_verifying/audio_samples/recorded/test_recording.wav
2025-06-17 09:36:21 | INFO | voice_audio_recorder | 音訊資源清理完成
2025-06-17 09:36:22 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 09:36:22 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 09:36:22 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 09:36:22 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 09:36:22 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 09:37:03 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
2025-06-17 09:37:03 | INFO | voice_audio_recorder | 預設輸入設備: MacBook Pro的麥克風
2025-06-17 09:37:03 | WARNING | voice_audio_recorder | 音訊格式測試失敗: ('Must specify stream format for input, output, or both', -9996)
2025-06-17 09:37:03 | ERROR | voice_audio_recorder | 無法找到支援的音訊格式
2025-06-17 09:37:03 | INFO | voice_audio_recorder | AudioRecorder 初始化完成
2025-06-17 09:38:03 | INFO | voice_audio_recorder | 偵測到 3 個音訊設備
